,DDA_6,DIA_6,DDA_21,DIA_21,DDA_120,DIA_120
Type,DDA,DIA,DDA,DIA,DDA,DIA
Gradient (min),6,6,21,21,120,120
Detector events,143542808,126982956,295251252,730564765,2736188777,6364599982
Load .d (s),1.1648500971428664,0.9211746021428594,3.000595848571436,4.705423651571432,31.21488464657142,87.50968667157146
Save .hdf (s),0.4087978131428502,0.3379064490000019,0.7978312687142923,1.9232415792857214,6.91916737142859,238.7163003325714
Load .hdf (s),0.402657127142902,0.15738630599993744,0.9128379671427476,2.5424053231428325,13.756549710714353,35.03070653057135
Slice LC (s),0.0037706019357139145,0.0017265146502856755,0.0006492550262857678,0.00021285097885713963,0.00012123704430000544,0.0009054711491426783
Slice LC (hits),124835,59714,20923,5098,2185,29248
Slice TIMS (s),0.007709210171428172,0.005665096532856556,0.029693312514284895,0.057352452071427244,0.22582351457140248,0.4636308594285765
Slice TIMS (hits),234662,162369,658010,1353926,5292442,10531583
Slice QUAD (s),0.01100363262142894,0.138369560114279,0.061104919728567055,1.465363017571495,0.5270363254285907,13.1598057009999
Slice QUAD (hits),40583,4173952,759187,47439349,7071306,375522442
Slice TOF (s),0.06318545988571193,0.08851231808569407,0.16473930485713678,0.3727981839999432,1.1909512841428165,2.9049408307143625
Slice TOF (hits),38471,27954,69405,116658,797700,1661932
